radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KMOB,9/15/2011,Fall,y,,,,,,,,,,
KMOB,9/16/2011,Fall,y,,,,,,,,,,
KMOB,9/17/2011,Fall,y,,,,,,,,,,
KMOB,9/18/2011,Fall,n,,,,,,,,,,
KMOB,9/19/2011,Fall,n,,,,,,,,,,
KMOB,9/20/2011,Fall,n,,,,,,,,,,
KMOB,9/21/2011,Fall,n,,,,,,,,,,
KMOB,9/22/2011,Fall,n,,,,,,,,,,
KMOB,9/23/2011,Fall,y,,,,,,,,,,
KMOB,9/24/2011,Fall,n,,,,,,,,,,
KMOB,9/25/2011,Fall,y,,,,,,,,,,
KMOB,9/26/2011,Fall,y,,,,,,,,,,
KMOB,9/27/2011,Fall,y,,,,,,,,,,
KMOB,9/28/2011,Fall,n,,,,,,,,,,
KMOB,9/29/2011,Fall,y,,,,,,,,,,
KMOB,9/30/2011,Fall,y,,,,,,,,,,
KMOB,10/1/2011,Fall,y,,,,,,,,,,
KMOB,10/2/2011,Fall,y,,,,,,,,,,
KMOB,10/3/2011,Fall,y,,,,,,,,,,
KMOB,10/4/2011,Fall,y,,,,,,,,,,
KMOB,10/5/2011,Fall,y,,,,,,,,,,
KMOB,10/6/2011,Fall,y,,,,,,,,,,
KMOB,10/7/2011,Fall,y,,,,,,,,,,
KMOB,10/8/2011,Fall,n,,,,,,,,,,
KMOB,10/9/2011,Fall,y,,,,,,,,,,
KMOB,10/10/2011,Fall,y,,,,,,,,,,
KMOB,10/11/2011,Fall,y,,,,,,,,,,
KMOB,10/12/2011,Fall,y,,,,,,,,,,
KMOB,10/13/2011,Fall,y,,,,,,,,,,
KMOB,10/14/2011,Fall,y,,,,,,,,,,
KMOB,10/15/2011,Fall,y,,,,,,,,,,
KMOB,10/16/2011,Fall,n,,,,,,,,,,
KMOB,10/17/2011,Fall,y,,,,,,,,,,
KMOB,10/18/2011,Fall,n,,,,,,,,,,
KMOB,10/19/2011,Fall,y,,,,,,,,,,
KMOB,10/20/2011,Fall,y,,,,,,,,,,
KMOB,10/21/2011,Fall,y,,,,,,,,,,
KMOB,10/22/2011,Fall,y,,,,,,,,,,
KMOB,10/23/2011,Fall,y,,,,,,,,,,
KMOB,10/24/2011,Fall,y,,,,,,,,,,
KMOB,10/25/2011,Fall,y,,,,,,,,,,
